nuts3,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9,Period 10,Period 11,Period 12
DED2F,0.08278983117394823,0.08391744815145863,0.0833270282931084,0.08333363400319488,0.08332063567044407,0.08332702829310841,0.0833270282931084,0.0833270282931084,0.083338904121902,0.08331553555556623,0.08332702829310841,0.08334886985794421
DED51,0.0827898311739482,0.08391744815145857,0.08332702829310837,0.08333363400319485,0.08332063567044402,0.08332702829310837,0.08332702829310835,0.08332702829310835,0.08333890412190194,0.08331553555556619,0.08332702829310837,0.08334886985794417
DED52,0.08278983117394821,0.08391744815145859,0.08332702829310838,0.08333363400319486,0.08332063567044404,0.08332702829310837,0.08332702829310838,0.08332702829310838,0.08333890412190195,0.0833155355555662,0.08332702829310837,0.08334886985794418
DED53,0.0827898311739482,0.08391744815145857,0.08332702829310837,0.08333363400319486,0.08332063567044402,0.08332702829310837,0.08332702829310837,0.08332702829310837,0.08333890412190195,0.08331553555556619,0.08332702829310837,0.08334886985794418
DEE01,0.08278983117394821,0.08391744815145859,0.08332702829310837,0.08333363400319485,0.08332063567044404,0.08332702829310837,0.08332702829310837,0.08332702829310837,0.08333890412190195,0.08331553555556621,0.08332702829310837,0.08334886985794421
DEE02,0.0827898311739482,0.08391744815145859,0.08332702829310837,0.08333363400319485,0.08332063567044404,0.08332702829310837,0.08332702829310837,0.08332702829310837,0.08333890412190195,0.08331553555556621,0.08332702829310837,0.0833488698579442
DEE03,0.08278983117394821,0.0839174481514586,0.08332702829310838,0.08333363400319486,0.08332063567044405,0.0833270282931084,0.08332702829310838,0.08332702829310838,0.08333890412190197,0.08331553555556621,0.0833270282931084,0.0833488698579442
DEE04,0.08278983117394821,0.08391744815145862,0.0833270282931084,0.08333363400319485,0.08332063567044407,0.08332702829310838,0.0833270282931084,0.0833270282931084,0.08333890412190198,0.08331553555556621,0.08332702829310838,0.0833488698579442
DEE05,0.08278983117394821,0.0839174481514586,0.08332702829310838,0.08333363400319485,0.08332063567044405,0.08332702829310838,0.08332702829310838,0.08332702829310838,0.08333890412190195,0.08331553555556621,0.08332702829310838,0.08334886985794421
DEE07,0.0827898311739482,0.08391744815145859,0.08332702829310837,0.08333363400319485,0.08332063567044404,0.08332702829310837,0.08332702829310838,0.08332702829310837,0.08333890412190195,0.0833155355555662,0.08332702829310837,0.08334886985794417
DEE08,0.08278983117394821,0.08391744815145857,0.0833270282931084,0.08333363400319485,0.08332063567044405,0.08332702829310838,0.0833270282931084,0.0833270282931084,0.08333890412190195,0.0833155355555662,0.08332702829310838,0.0833488698579442
DEE09,0.08278983117394823,0.0839174481514586,0.08332702829310838,0.08333363400319486,0.08332063567044407,0.08332702829310838,0.08332702829310838,0.08332702829310838,0.08333890412190195,0.08331553555556623,0.08332702829310838,0.0833488698579442
DEE06,0.08278983117394823,0.0839174481514586,0.08332702829310838,0.08333363400319485,0.08332063567044404,0.0833270282931084,0.0833270282931084,0.0833270282931084,0.08333890412190197,0.08331553555556621,0.0833270282931084,0.0833488698579442
DEE0A,0.08278983117394821,0.08391744815145859,0.08332702829310838,0.08333363400319486,0.08332063567044405,0.08332702829310838,0.08332702829310838,0.08332702829310838,0.08333890412190197,0.0833155355555662,0.08332702829310838,0.0833488698579442
DEE0B,0.08278983117394821,0.08391744815145859,0.08332702829310838,0.08333363400319485,0.08332063567044404,0.08332702829310838,0.08332702829310838,0.08332702829310838,0.08333890412190197,0.08331553555556621,0.08332702829310838,0.08334886985794418
DEE0C,0.0827898311739482,0.0839174481514586,0.08332702829310838,0.08333363400319486,0.08332063567044405,0.08332702829310838,0.08332702829310838,0.08332702829310837,0.08333890412190197,0.0833155355555662,0.08332702829310838,0.0833488698579442
DEE0D,0.08278983117394823,0.08391744815145857,0.08332702829310838,0.08333363400319486,0.08332063567044405,0.08332702829310838,0.0833270282931084,0.0833270282931084,0.08333890412190195,0.0833155355555662,0.08332702829310838,0.0833488698579442
DEE0E,0.08278983117394823,0.0839174481514586,0.08332702829310841,0.08333363400319486,0.08332063567044407,0.08332702829310841,0.08332702829310841,0.08332702829310841,0.08333890412190198,0.08331553555556623,0.08332702829310841,0.08334886985794421
